The Certainty of Man
Mr. Barnes of New York
Heilig recht
The Three of Us (1914 film)
Mabel's Nerve
Dough and Dynamite
The Kiss (1914 film)
De bloemen, die de ziel vertroosten
Pins Are Lucky
The Battle of Waterloo (film)
The Spitfire
In the Clutches of the Gang
The Master Cracksman
The Naked Truth (1914 film)
Satyavan Savitri
The Tear That Burned
Hello, Mabel
Shotguns That Kick
Destinies Fulfilled
The Adventures of François Villon
Such a Little Queen (1914 film)
The Swagman's Story
Golfo (1914 film)
Grimaldi (film)
One Wonderful Night
The Rejuvenation of Aunt Mary (1914 film)
The Mysterious X
When a Woman Waits
Desert Thieves
His Majesty, the Scarecrow of Oz
Recreation (film)
The Honor of the Force
Won in a Closet
Zip, the Dodger
His Father's Rifle
Fatty's Wine Party
Ready Money (film)
Laughing Gas (1914 film)
The Masquerader (1914 film)
The Spoilers (1914 film)
A Misplaced Foot
The Coming of the Padres
When Men Would Kill
The Loss of the Birkenhead
The Oubliette
A Little Madonna
The White Rose (1914 film)
The Sparrow (1914 film)
The Center of the Web
The Million
Die geheimnisvolle Villa
A Night of Thrills
The Man of the Hour (1914 film)
A Brewerytown Romance
Beauty and the Barge (1914 film)
The Princess in a Nightrobe
The Daddy of Them All
The Princess of Bedford
The Battle of the Sexes (1914 film)
Business Versus Love
Twenty Minutes of Love
Children of the Streets
The Redemption of a Pal
Outwitting Dad
The $5,000,000 Counterfeiting Plot
The Forbidden Room (1914 film)
Mary Magdalene (1914 film)
At the Potter's Wheel
My Official Wife
My Leopold (1914 film)
The Fable of the Busy Business Boy and the Droppers-In
The Navy Aviator
Love's Sacrifice (film)
Shotgun Jones
The Man Who Disappeared
Calamity Anne's Love Affair
The Blooms of Banjeli
Mother (1914 film)
La parola che uccide
Imar the Servitor
A Soul Astray
The Lion and the Mouse (1914 film)
The Son of Thomas Gray
In the Hands of a Brute
Pierre of the Plains (1914 film)
The Red Promenade
The Sleeping Sentinel
The Girl in the Shack
The Menace to Carlotta
Ayastefanos'taki Rus Abidesinin Yıkılışı
A Helpful Sisterhood
Her Younger Sister
Bánk Bán (film)
The Bandit of Port Avon
Fatty and Minnie He-Haw
Fantômas (1913 serial)
Mother of the Shadows
Lost in the Dark (1914 film)
Her Grave Mistake
The New Janitor
The Under-Sheriff
Our Country Cousin
The Clergyman
Man's Enemy
Lovers' Post Office
Virtue Is Its Own Reward
The Sisters (1914 film)
The Story of the Olive
The Lion, the Lamb, the Man
Fatty and the Heiress
A Suspended Ordeal
The Rise of the Johnsons
Lord Chumley
A Busy Day
What's His Name
Barnyard Flirtations
The Hunchback (1914 film)
Nature's Touch
Between Showers
Watchhouse in the Carpathians
Manon Lescaut (1914 film)
Golddigger (film)
Madame Double X
Does It End Right?
To Be Called For
The Hazards of Helen
That Minstrel Man
Richelieu (film)
Mabel's Strange Predicament
Nell's Eugenic Wedding
Men and Women (1914 film)
He Wanted Work
The Beggar Child
The Making of Bobby Burnit
The Lost Sermon
Mabel at the Wheel
Love and Bullets (1914 film)
The Secret of the Well
Star of the North
Hearts Adrift
Justice (1914 film)
The Straight Road
Il piccolo cerinaio
The Body in the Trunk
A Gentleman from Mississippi
The Nightingale (1914 film)
Tango Tangles
Lover's Luck
Den kulørte Slavehandler
Mr. Barnes of New York (1914 film)
The World, the Flesh and the Devil (1914 film)
A Million Bid (1914 film)
Who's Boss?
An Incompetent Hero
Bismarck (1914 film)
His Last Dollar
Her Luck in London
Fatty's Gift
A Ranch Romance
Killing Horace
Building a Fire
Fatty's Jonah Day
The Hopes of Blind Alley
A Film Johnnie
St. Elmo (1914 film)
Dobs at the Shore
The Lamb, the Woman, the Wolf
Damaged Goods (film)
In Tune
The Folly of Anne
A Brand New Hero
Captain Alvarez
The Livid Flame
The Tragedy of Whispering Creek
Daughter of the Peaks
The Vigil (film)
The Last Egyptian
Toffe jongens onder de mobilisatie
Leading Lizzie Astray
Cinderella (1914 film)
Life's Shop Window
Back to the Farm
Hearts That Meet
McVeagh of the South Seas
In and Out (1914 film)
The Suicide Club (1914 film)
The Man from Home (1914 film)
The Angel of Contention
His Favourite Pastime
The Old Curiosity Shop (1914 film)
A Celebrated Case
Theodora (1914 film)
Should a Woman Divorce?
The Unwelcome Mrs. Hatch
Worms Will Turn
Behind the Scenes (1914 film)
Her Escape (film)
The Pipes o' Pan
Feast and Famine
The Girl Stage Driver
Zapata's Gang
A Mother of Men
De besejrede Pebersvende
The Idol of Paris (1914 film)
The Sky Pirate
The Harbour Lights (1914 film)
The Squaw Man (1914 film)
Daisy Doodad's Dial
Old St. Paul's (film)
Lucille Love, Girl of Mystery
Redbird Wins
Julius Caesar (1914 film)
The Water Dog
Sins of the Parents
The Heart of Midlothian (film)
The Courtship of O San
Monsieur Lecoq (1914 film)
Mrs. Black Is Back
The Conspiracy (1914 film)
Mabel's Blunder
Classmates (1914 film)
Mack at It Again
Taking his Chance
His New Profession
The Rose Bush of Memories
Home, Sweet Home (1914 film)
Chicken Chaser
Mein Lieber Katrina Catches a Convict
Fatty's Debut
A Dog's Love
Old Enough to Be Her Grandpa
A Long, Long Way to Tipperary
O Mimi San
Gentlemen of Nerve
Unto the Weak
Silent Witnesses
Caught in a Cabaret
The Death Mask
A Thief Catcher
The Dilemma (1914 film)
Good Cider
The Virginian (1914 film)
The Typhoon
Her Life's Story
The Village 'Neath the Sea
Cabiria
The Female Cop
Amalia (1914 film)
Nipped (film)
Cameo Kirby (1914 film)
The Wrong Birds
The Chimes (film)
His Faith in Humanity
Valley of the Moon (1914 film)
The Life of Shakespeare
The Education of Mr. Pipp
The Ups and Downs (1914 film)
De zigeunerin
Colonel Custard's Last Stand
Brute Force (1914 film)
Weary Willie's Rags
A Miner's Romance
The Jungle (1914 film)
Enoch Arden (1914 film)
The Circus Man
Their Ups and Downs
The Power of Light
The Man from the East
His Sudden Recovery
The Green Alarm
Little Angel (film)
The Star Boarder (1914 film)
The Widow's Investment
The Taming of Sunnybrook Nell
Burning Daylight: The Adventures of 'Burning Daylight' in Civilization
Tess of the Storm Country (1914 film)
For Ireland's Sake
In the Open
Karujaht Pärnumaal
Casey's Birthday
The Crucible (1914 film)
The Telltale Knife
She Married for Love
Her Father's Silent Partner
The Servant Girl's Legacy
Absinthe (1914 film)
Fatty Again
The Eye of the Government
The Brass Bottle (1914 film)
Fatty's Magic Pants
The Priest from Kirchfeld (1914 film)
The Adventures of Shorty
The Magic Cloak of Oz
Cheering a Husband
Jail Birds
A Relic of Old Japan
La fuga degli amanti
Zijn viool
Samson (1914 film)
A Rowboat Romance
The Kidnapped Bride
The Soubrette and the Simp
The Exile (1914 film)
Weergevonden
Cruel, Cruel Love
The Archeologist
Judith of Bethulia
The Pursuit of the Phantom
September Morn (film)
Lights of London (1914 film)
Rosemary, That's for Remembrance
The Only Son (1914 film)
A Viuvinha (film)
Never Too Old (film)
The Unmasking
Under the Gaslight
The Old Cobbler
The Call of the Traumerei
When the Ham Turned
Making a Living
The Embezzler (1914 film)
For Two Pins
The Particular Cowboys
Sparrow of the Circus
A Fool There Was (1914 film)
Hinemoa (1914 film)
Mother's Baby Boy
Aristocracy (film)
Detektiv Braun
Paid in Full (1914 film)
Eugene Aram (1914 film)
In the Candlelight
A Good Girl Keeps Herself in Good Order
The Active Life of Dolly of the Dailies
The Sower Reaps
The County Chairman (1914 film)
She Was the Other
The Baggage Smasher
The Sea Nymphs (film)
A Nest Unfeathered
A Tragedy of the Orient
A Study in Scarlet (1914 British film)
The Exploits of Elaine
This Is th' Life
Brewster's Millions (1914 film)
Those Country Kids
Mabel's Married Life
In the Land of the Head Hunters
The Country Mouse
Where the Trail Divides
The Silence of Dean Maitland (1914 film)
Mabel's Busy Day
Il segreto del castello di Monroe
Shep's Race with Death
His Prehistoric Past
The Curse of Caste
Those Happy Days (1914 film)
Sir Galahad of Twilight
He Won a Ranch
The Chechako
Liefde waakt
Her Own Money
Der Hund von Baskerville
A Flirt's Mistake
The Fresh Air Cure
The Oath of Pierre
Billy's Rival
The Heroine of Mons
Liberty Hall (film)
The Life of General Villa
Mabel's Stormy Love Affair
A Florida Enchantment
The Final Impulse
The Patchwork Girl of Oz (1914 film)
The Property Man
The Amateur Detective
The Bosun's Mate
Sweedie Learns to Swim
Neptune's Daughter (1914 film)
Diego Corrientes (1914 film)
Salomy Jane (film)
The Fatal Mallet
Fatty's Finish
