Le olimpiadi dei mariti
Urge to Kill (film)
Valley of the Redwoods
Mera Ghar Mere Bachche
And Women Shall Weep
Sad Pastorale
The Love Game
The Last Witness (1960 film)
Makkala Rajya
Let's Make Love
Hum Hindustani
The Unstoppable Man
Inn for Trouble
Mahakavi Kalidasu
Captain Blood (1960 film)
Mąż swojej żony
Weddings and Babies
Candide ou l'optimisme au XXe siècle
The Cossacks (1960 film)
Five Guns to Tombstone
The Pure Hell of St Trinian's
La Dolce Vita
Resurrection (1960 film)
The Dark at the Top of the Stairs
Mannadhi Mannan
Crimen (film)
Minotaur, the Wild Beast of Crete
Escort for Hire
Operation Stogie
The River Fuefuki
Sentenced for Life (1960 film)
Aadavantha Deivam
Your Money or Your Wife
Was wäre, wenn...?
Night and Fog in Japan
Un taxi pour Tobrouk
Yesterday's Enemy
The Lady with the Dog (film)
The Hunchback of Rome
Konec cesty
The Fair (film)
13 Ghosts
Platinum High School
I Aim at the Stars
Umma (1960 film)
High Note (film)
The Apartment
The Children of Bullerbyn Village
Twelve Hours to Kill
The Man in the Funny Suit
L'Avventura
Seilergasse 8
Visit to a Small Planet
Dead Souls (1960 film)
Black Sunday (1960 film)
Mill of the Stone Women
The Hands of Orlac (1960 film)
Kiklee
Too Hot to Handle (1960 film)
Linda (1960 film)
Kaithi Kannayiram
The Running Jumping & Standing Still Film
A Christmas Carol (1960 film)
From Hare to Heir
Obaltan
Comanche Station
Warriors for Freedom
Zlé pondělí
La nave de los monstruos
Colossus and the Amazon Queen
Lost Battalion (1960 film)
George Grosz' Interregnum
Khovanshchina (film)
Cage of Evil
Category:1960 television films
Bells Are Ringing (film)
David and Goliath (1960 film)
The Party Is Over
Stories of the Revolution
The Hole (1960 film)
Aasha Sundari
The Greeneyed Elephant
El Rufián
Revolver en guardia
The Golden Years (1960 film)
Pirates of the Coast
Kohinoor (1960 film)
How to Stuff a Woodpecker
Un mandarino per Teo
Heap Big Hepcat
Tire dié
The Delinquents (1960 film)
Beyond the Time Barrier
Trouble with Eve
Komisario Palmun erehdys
Sink the Bismarck!
Raymie
Luna Park (1960 film)
Thunder in Carolina
Chupi Chupi Aashey
The Boy Who Stole a Million
Hell Bent for Leather (film)
A City Called Copenhagen
Scar Yosaburo
Héroes de hoy
The Rat Race
Suspect (1960 film)
U nás v Mechově
College Girl (1960 film)
Let's Get Married (1960 film)
It Was I Who Drew the Little Man
The Wild, Wild Rose
The Bramble Bush
Late Autumn (1960 film)
Dos locos en escena
I'll Give My Life
Jis Desh Mein Ganga Behti Hai
Love in Rome
My Street (film)
Her Brother
The Mountain Road
Jazz Boat
Sri Venkateswara Mahatyam
Forelsket i København
Raja Desingu
The Story on Page One (film)
Oklahoma Territory (film)
Bad Luck (film)
Bluebeard's Ten Honeymoons
Never on Sunday
Meghe Dhaka Tara
Wasteland (1960 film)
Letto a tre piazze
The Cape Canaveral Monsters
The Day They Robbed the Bank of England
All the Fine Young Cannibals
Aangan (1959 film)
Colossus and the Headhunters
Mistress of the World
Sujata (1959 film)
West of the Pesos
There Was a Crooked Man (film)
Category:Lists of 1960 films by country or language
The Horse with the Flying Tail
Sømand i knibe
Mahallada duv-duv gap
Make Mine Mink
Ten Who Dared
Nader Nimai
Esther and the King
Giuseppina
The Jailbreakers
Hand in Hand (film)
Mouse and Garden
Herencia trágica
Aanchal (1960 film)
Appuntamento a Ischia
Under Ten Flags
Ganga (1960 film)
Trapped by Fear
Makkers Staakt uw Wild Geraas
Carry On Constable
Siege of Syracuse (film)
Sasural (1961 film)
The Leech Woman
Our Last Spring
Sunrise at Campobello
It Started in Naples
Murder, Inc. (film)
The Big Bounce (1960 film)
Romeo, Juliet and Darkness
El emigrante (film)
Ocean's 11
Home from the Hill (film)
Once More, with Feeling!
Adua and Friends
Das schwarze Schaf
The Hound That Thought He Was a Raccoon
A Taste of Money
Stop! Look! and Laugh
Macario (film)
Baronessen fra benzintanken
Bílá spona
Rabbit's Feat
Panic in Paradise (film)
Conspiracy of Hearts
The Secret of the Telegian
Surprise Package (film)
Saturday Night and Sunday Morning (film)
The Book and the Sword (1960 film)
Moment of Danger
For Chastity
North to Alaska
The Mongols (film)
The Flesh and the Fiends
Chronique d'un été
The Avenger (1960 film)
Las Canciones unidas
The Facts of Life (film)
Bewaqoof
Chhalia
Everybody Go Home
Dos tipos con suerte
Cruel Story of Youth
Alfonso XII and María Cristina
The Young One
Operation Cupid
Seven Days... Seven Nights
Five Branded Women
Category:1960 animated films
The Judge (1960 film)
Shivalinga Sakshi
Goliath II
Carthage in Flames
Tall Story
The Unforgiven (1960 film)
Pretty Boy Floyd (film)
Tunes of Glory
Le propre de l'homme
Kanoon
Kapò
Favela (film)
Point 905
The Millionairess
Oscar Wilde (film)
The Little Soldier
Heaven at Home
Rani Honnamma
Usne Kaha Tha
Kanyadaan (1968 film)
Purple Noon
Inherit the Wind (1960 film)
Category:1960 horror films
Never Let Go
Struggle for Eagle Peak
The Enemy General
The Human Vapor
Charlotte and Her Boyfriend
Singapore (1960 film)
Peeping Tom (film)
Three Came to Kill
Cavalcade (1960 film)
No Trouble with Cleopatra
Doctor Ahrendt's Decision
Kaks' tavallista Lahtista
The Nudist Story
Cimarron (1960 film)
Where the Boys Are
Follow That Horse!
Hatifa
Breathless (1960 film)
Lies My Father Told Me (1960 film)
Atom Age Vampire
Stray Bullet (1960 film)
Las hijas del Amapolo
The Spider's Web (1960 film)
The Virgin Spring
Midnight Lace
Les Tortillards
The Secret of the Purple Reef
El buena suerte
A Rumor of Love
Blood and Roses
Cone of Silence (film)
Neeli Saali
Come Back, Africa
Plácido (film)
The Entertainer (film)
Le pillole di Ercole
Flaming Star
Morgan, the Pirate
The World of Suzie Wong (film)
The Phantom of the Operetta (1960 film)
Run with the Devil
Revak the Rebel
Černá sobota
Ek Phool Char Kante
The Haunted Castle (1960 film)
The Pharaohs' Woman
Light Up the Sky! (film)
Autumn Has Already Started
Vidivelli
Hideout in the Sun
The Sinister Urge (film)
Big Request Concert
Wake Me When It's Over (film)
Culpable (film)
Pelli Kanuka (1960 film)
The Enchanting Shadow
Take Aim at the Police Van
The Warped Ones
Bottoms Up (1960 film)
Chartroose Caboose
The Music Box Kid
The Full Treatment
Yo quiero vivir contigo
The Broken Pots
When the Girls Take Over
The Siege of Sidney Street
Raja Bakthi
Cinderfella
The Boy and the Pirates
Padikkadha Medhai
Parthiban Kanavu (1960 film)
All the Young Men
The Ninth Circle
12 to the Moon
Paavai Vilakku
Crack in the Mirror
Austerlitz (film)
Vice Raid
Storm Over the Pacific
The Tell-Tale Heart (1960 film)
The Revolt of the Slaves
Billion Dollar Boner
Primary (film)
Sex Kittens Go to College
Der rote Kreis
The Ambassador (1960 film)
Kidnapped (1960 film)
High School Caesar
A Circle of Deception
Scent of Mystery
Sergeant Rutledge
The Truth (1960 film)
Do Lachhian
Ta kitrina gantia
Fountain of Trevi (film)
Lettere di una novizia
The High Powered Rifle
Paris Belongs to Us
Il peccato degli anni verdi
El Esqueleto de la señora Morales
Fortunat
Conny und Peter machen Musik
The Angry Silence
Arnulf Rainer (film)
Juanito (film)
Studs Lonigan
And the Same to You
Dead Lucky
Sri Lokanath
Queen of the Pirates
Antara Dua Darjat
The Crowded Sky
El Crack (1960 film)
Strangers When We Meet (film)
The Fourteenth Day
Testament of Orpheus
First Lesson
Shoot the Piano Player
Parakh (1960 film)
Lipstick (1960 film)
The Devil's Eye
Angulimaal (film)
Flemming og Kvik
Boulevard (1960 film)
The Amazing Transparent Man
The Traffic Policeman
Space Men
Go to Hell, Hoodlums!
Macumba Love
Everything Goes Wrong
Seven Thieves
The Proper Time
Howlers in the Dock
Vai que É Mole
På en bänk i en park
College Confidential (film)
Girl of the Night
Brainwashed (film)
Key Witness (1960 film)
The League of Gentlemen (film)
Last Woman on Earth
Danger Tomorrow
Sweet Deceptions
Circle of the Sun
A Ray of Light
Seeta (1960 film)
Frames of Reference
Kuravanji
September Storm
Sky Above and Mud Beneath
We Cellar Children
Messalina (1960 film)
La patota (1960 film)
Valčík pro milión
I Passed for White
The Wackiest Ship in the Army (film)
Ich zähle täglich meine Sorgen
Baghdad Thirudan
Revenge of the Barbarians
No Greater Love (1960 film)
Masoom (1960 film)
The Last Voyage
Raja Makutam
Sommar och syndare
Alakazam the Great
Young Jesse James
No Kidding (film)
Keshan hong ri
House of Usher (film)
The Pusher (film)
Watch Your Stern
The Day (1960 film)
New Year's Eve Punch
Totò, Fabrizi e i giovani d'oggi
A Dog of Flanders (1960 film)
Doctor in Love
Pollyanna (1960 film)
Guns of the Timberland
The Subterraneans
Pay or Die
Les Scélérats
Pepe (film)
Horse Hare
Chi si ferma è perduto
Two Women
Cash McCall
El dolor de pagar la renta
This Rebel Breed
Nammina Bantu
The Dixie Fryer
Shunko
Il Mattatore
Jungle Cat (film)
Kavalai Illaadha Manithan
Mughal-e-Azam
The Bulldog Breed
The Accused (1960 film)
An Honourable Murder
The River of Love (film)
Mrs. Warren's Profession (film)
Ferragosto in bikini
Die Flucht aus der Hölle
Fury of the Pagans
Too Soon to Love
Los de la mesa 10
Homage at Siesta Time
Kairasi
Jokyo (film)
My Friend, Dr. Jekyll
Signori si nasce
Love Toy
La garçonnière
The High Life (1960 film)
Compelled
Desire in the Dust
Because They're Young
To the Last Day
The Savage Innocents
The Little Shop of Horrors
Venganza fatal
Los tigres del desierto
La potranca
Freckles (1960 film)
El Campeón soy yo
Night Train for Inverness
The Plunderers
A Morte Comanda o Cangaço
Kuzhandhaigal Kanda Kudiyarasu
Guys from the Army Band
Il bell'Antonio
Los fanfarrones
Les Bonnes Femmes
Certains l'aiment froide
Faust (1960 film)
House of Terror (film)
Cleopatra's Daughter
Faja Lobbi
His and Hers (film)
Classe Tous Risques
Foxhole in Cairo
The Gigolo (1960 film)
Song Without End
The Last Winter (1960 film)
William Tell (1960 film)
The White Horse Inn (1960 film)
Ranadheera Kanteerava
The City of the Dead (film)
G.I. Blues
Portrait in Black
Beat Girl
The Queen of Spades (1960 film)
Signal Over the City
The Loves of Salammbo
Chelovek menyaet kozhu
BUtterfield 8
Dinosaurus!
Banditi a Orgosolo
Ali Baba Bujang Lapok
Anuradha (1960 film)
Walk Tall (film)
Zlepšovák
The Bellboy
Zazie dans le Métro
Eyes Without a Face
The Orphan (film)
Sands of the Desert
The Girl in Lovers Lane
The Dam on the Yellow River
The Magnificent Seven
The 3rd Voice
El Asalto
Bidaya wa Nihaya
Sword of Sherwood Forest
A Breath of Scandal
When a Woman Ascends the Stairs
Egklima sta paraskinia
Femmine di lusso
Ski Troop Attack
Dařbuján a Pandrhola
El malvado Carabel
Chaudhvin Ka Chand
The Savage Eye
Kärlekens decimaler
The Criminal
Bombs on Monte Carlo (1960 film)
L'Amour existe
Don Lucio y el hermano pío
Dil Bhi Tera Hum Bhi Tere
Himmel, Amor und Zwirn
Escape by Night (1960 film)
One Foot in Hell (film)
The Gallant Hours
The Battle of the Sexes (1959 film)
Adutha Veettu Penn
The Grass Is Greener
Walk Like a Dragon
The Wandering Princess
Ghunghat (1960 film)
Tess of the Storm Country (1960 film)
Chafalonías
The Private Lives of Adam and Eve (film)
Det skete på Møllegården
The Playgirls and the Vampire
Una Bala es mi testigo
Beyond the Curtain
Humsaya
The Brides of Dracula
The Thousand Eyes of Dr. Mabuse
The Trials of Oscar Wilde
