A Mother's Heart
Torrid Noon
Zatoichi and the Chess Expert
Solange Leben in mir ist
Fantômas se déchaîne
The Relentless Four
Return from the Ashes
Ten Little Indians (1965 film)
The She-Wolf (1965 film)
I soldi
Panchavarna Kili
Overture (1965 film)
The Dot and the Line
The Gentlemen (1965 film)
Odayil Ninnu (film)
The Magnificent Cuckold
Operation Y and Shurik's Other Adventures
Soldati e caporali
002 Operazione Luna
Lo scippo
Thunderball (film)
The Third Day
Subarnarekha (film)
Sting of Death
Jesse James' Kid
San Ferry Ann
Kattupookkal
Per una manciata d'oro
Porter Kunjali
Loves of a Blonde
Give me a complaints book
The Sandpiper
Praktores 005 enantion Hrysopodarou
Toto of Arabia
Mahapurush
Simon of the Desert
Intriga en Lima
Cristo in India
Das Vermächtnis des Inka
Rosie (1965 film)
Mere Sanam
The Grand Moments
Sinful (film)
A Study in Terror
La Bohème (1965 film)
The Life of Juanita Castro
Beratha Jeeva
Le sedicenni
Les Bons Vivants
Buffalo Bill, Hero of the Far West
Bangaru Panjaram
Young Cassidy
Beauty No. 1
Assassination in Rome
Teen Devian
Four in the Morning (film)
Les Aventures des Schtroumpfs
Mission to Caracas
Anbu Karangal
Alphaville (film)
Walkover (film)
Die Letzten drei der Albatross
Red Dragon (1965 film)
Flushing Meadows (film)
Winter Kept Us Warm
The Big Job (film)
City Under the Sea
Agent 3S3: Passport to Hell
Boeing Boeing (1965 film)
Agent 077: From the Orient with Fury
Every Day's a Holiday (1965 film)
OSS 117 Mission for a Killer
A Very Special Favor
Sands of the Kalahari
Veera Vikrama
The Reckless
Der Reserveheld
Denk bloß nicht, ich heule
Brainstorm (1965 film)
Déclic et des claques
Esta noche mejor no
Fists in the Pocket
M.M.M. 83
Pathivratha
Gendarme in New York
The Battle of the Villa Fiorita
Devils of Darkness
Ah, Sweet Mouse-Story of Life
Nick Carter and Red Club
Hercules the Avenger
Ganj-e Qarun
Mahabharat (1965 film)
Mayhem on a Sunday Afternoon
008: Operation Exterminate
The Liquidator (1965 film)
The Fool Killer
What's New Pussycat?
Unnaipol Oruvan (1965 film)
Strange Bedfellows (1965 film)
The Amorous Adventures of Moll Flanders
The Cat's Me-Ouch!
The Glory Guys
The Triumph of Hercules
Village of the Giants
Akash Kusum
You Must Be Joking! (1965 film)
I Am Twenty
Pandava Vanavasamu
Mane Katti Nodu
Per un pugno nell'occhio
Kapurush
Devdas (1965 film)
Situation Hopeless... But Not Serious
36 Hours (1965 film)
Moll Flanders
Su e giù
Mahasathi Anasuya
Clarence, the Cross-Eyed Lion
Neela Vanam
Amarajeevi (film)
Vennira Aadai
How We Got Into Trouble with the Army
Blindfold (film)
A (1965 film)
Category:Lists of 1965 films by country or language
The Bedford Incident
Planet of the Vampires
Malangi
The Hallelujah Trail
Going Inside a Storm
Von Ryan's Express
I figli del leopardo
Satya Harishchandra (1965 Telugu film)
The Outlaws Is Coming
Well Worn Daffy
The Sound of Music (film)
Mural on Our Street
House of the Black Death
Háry János (1965 film)
Blood Thirst
I Knew Her Well
Love and Kisses (film)
Chronicle of a Boy Alone
Perversion for Profit
Questi pazzi, pazzi italiani
Othello (1965 film)
The Magic World of Topo Gigio
Hysteria (1965 film)
Doc, Hands of Steel
Fluffy (1965 film)
A Rage to Live
The Beach Girls and the Monster
The Sea Village
Hum Sab Ustad Hain
War Party (1965 film)
Con rispetto parlando
The Art of Living (film)
Tread Softly (1965 film)
Mara of the Wilderness
Casanova 70
Poonam Ki Raat
The Flight of the Phoenix (1965 film)
Berlin, Appointment for the Spies
Un amore (1965 film)
Duel at Sundown (film)
Landmandsliv
The Family Jewels (film)
The Camp Followers
Istoria mias zois
Chimes at Midnight
Inside Daisy Clover
4 Schlüssel
Une fille et des fusils
The Agony and the Ecstasy (film)
The Ipcress File (film)
Más bonita que ninguna
Kapitan Sowa na tropie
Ide Mahasudina
Manhattan Night of Murder
Ride in the Whirlwind
Sarppakavu
Lee Seong-gye King Taejo
Kaakum Karangal
Black Spurs
The Yellow Rolls-Royce
Ship of Fools (film)
Darling (1965 film)
Kanyadan (film)
Harvey Middleman, Fireman
Run for Your Wife (1965 film)
Al Haram
La Métamorphose des cloportes
The Year of the Mouse
Zamindar (1965 film)
Especialista en chamacas
Neues vom Hexer
Triumph Over Violence
Finger on the Trigger (film)
Bus Riley's Back in Town
When the Boys Meet the Girls
Vallavanukku Vallavan (1965 film)
Slalom (film)
Driven from Paradise
Young Dillinger
The Longest Night (1965 film)
Iravum Pagalum (1965 film)
Desperate Mission
By Killing
Be My Guest (film)
Heer Sial (1965 film)
Deadwood '76
The Eye Creatures
Marcia nuziale
The Skull
Peyote Queen
Kaajal
Naya Kanoon
Seven Rebel Gladiators
Giant of the Evil Island
The Glass Cage (1965 film)
Mister Moses
Der Schatz der Azteken
The Young Will Live
Suppressed Duck
Bloody Pit of Horror
Chettathi
Boy and Bicycle
Love 65
Non son degno di te
Murappennu
Malajahna
Apache Uprising
Billie (film)
Tunnel War
Dak Ghar
La Dama de Beirut
Chained Girls
Operation C.I.A.
Sword of the Empire
Manushulu Mamathalu
Those Magnificent Men in their Flying Machines
Operation Poker
Marco the Magnificent
The Naked Brigade
Shots in Threequarter Time
The Collector (1965 film)
Kochumon
Una voglia da morire
Preminchi Choodu
A Patch of Blue
Perché uccidi ancora
The World of Abbott and Costello
The Early Bird
Ces dames s'en mêlent
Je vous salue, mafia!
Fonazei o kleftis
Gli uomini dal passo pesante
Pour Un Maillot Jaune
Mangamma Sapatham (1965 film)
Seven Slaves Against the World
The Possessed (1965 film)
Los Hipócritas
Thirty Three (film)
Do Not Disturb (1965 film)
Los Guerrilleros (1965 film)
Mi primera novia
Three Rooms in Manhattan
Enga Veettu Pillai
Go Go Amigo
Location Hunting in Palestine
Horse (1965 film)
Mayavi (1965 film)
Wälsungenblut
Luna (1965 film)
The Cincinnati Kid
Inside the Forbidden City
Satya Harishchandra (1965 Kannada film)
Shabe Quzi
There Was an Old Couple
The Intelligence Men
Şaka ile Karışık
Sky West and Crooked
The Truth About Spring
Harum Scarum
Wakadaishō series
Monsters Crash the Pajama Party
Photo Finish (TV movie)
Neela Aakash
Licensed to Kill (1965 film)
I due toreri
Crack in the World
The Forth Road Bridge
Chemmeen
In Harm's Way
Son of a Gunfighter
Haremde Dört Kadın
Thankakudam
The Brigand of Kandahar
Sandy the Seal
Thrilling
Category:1965 animated films
Fort Courageous
My Blood Runs Cold
Ohne Pass in fremden Betten
The Hour and Turn of Augusto Matraga
Shadows of Forgotten Ancestors
The Shop on Main Street
Maduve Madi Nodu
The Slender Thread
The Money Trap
The Lark (1964 film)
Kiss Kiss, Kill Kill
Chand Aur Suraj
Sarvagna Murthy
Love Italian Style (film)
Aadhi Raat Ke Baad
Secrets Behind the Wall
Assault and Peppered
Sathi Savithri
Kırık Hayatlar
O'Donoghue's Opera
Shakespeare Wallah
Joselito vagabundo
13 Days to Die
At the End of the Rainbow
The Uncle
The Mermaid (1965 film)
Hands of a Gunfighter
A Pistol for Ringo
Memorandum (film)
Heroes of Fort Worth
Mozambique (film)
Lord Jim (1965 film)
Kokusai himitsu keisatsu: Kagi no kagi
Train d'enfer
Love Has Many Faces
A Trip Down Memory Lane
The Girls on the Beach
The Loved One (film)
The Junk Shop
Maciste il vendicatore dei Maya
Operation Counterspy
Ken (film)
A Matter of Resistance
Time, Forward!
Bhaiyaa
Aasman Mahal
Harlow (Paramount film)
The Two Parachutists
Aasai Mugam
Life at the Top (film)
Requiem for a Gunfighter
Abashiri Prison
Rapture (1965 film)
Terror-Creatures from the Grave
Miss Leelavathi
The Obsessed of Catule
Young Fury
Rotten to the Core
Bhoot Bungla
The Heir to Næsbygaard
Category:1965 television films
Children of Don Quixote
Curse of Simba
Johar-Mehmood in Goa
Loca juventud
The Bounty Killer (film)
The War Lord
La donna di notte
The Spy with My Face
The Sword of Ali Baba
Marriage on the Rocks
Rita, la figlia americana
Jungle Adventurer
Viva Maria!
Pleins feux sur Stanislas
El Reñidero
Merveilleuse Angélique
Yeats Country
In a Colt's Shadow
A Man Named John
Die antike Münze
Runaway Railway
Tom-ic Energy
Psique y sexo
The Priest and the Girl
Pathala Mohini
The Silent Wife
The Young Nun
