Koningin Elisabeth's dochter
The Fable of the Roistering Blades
Pool Sharks
Steady Company
When the Gods Played a Badger Game
Poor Baby
Pete, the Pedal Polisher
Chimmie Fadden Out West
The Canned Bride
Stingaree (serial)
In the Heart of the Woods
Frontstairs and Backstairs
His Desperate Deed
The Wasp (film)
The Romance of Elaine
Within Our Gates (1915 film)
The Stake
A Heart of Gold
My Madonna
Some Baby
The Cowboy and the Lady (1915 film)
For Cash
Poor Schmaltz
The Heart of Jennifer
A Message Through Flames
He This Way, She That Way
Larry O'Neill
The Secret Sin
The Penitentes
A Touch of Love (1915 film)
We'll Take Her Children in Amongst Our Own
One Who Is Loved By Two
The Highbinders
Neal of the Navy
Under Southern Skies (1915 film)
Far from the Madding Crowd (1915 film)
From Italy's Shores
Her Own Way
The Mummy and the Hummingbird
Charity Ann
The Flying Twins
The Woman from Warren's
Santa Claus vs. Cupid
The Wolf of Debt
The Marriage of Kitty
The Toast of Death
When We Were Twenty-One
An Idyll of the Hills
The Caprices of Kitty
Shep the Sentinel
What He Forgot
Babe's School Days
The Carpet from Bagdad
Speed Kings (film)
The Living Death
Fox Trot Finesse
Getting His Goat
Nearly a Lady
That Little Band of Gold
Sweet Lavender (film)
The Secret of the Submarine
The New Adventures of J. Rufus Wallingford
The Captive (1915 film)
The Stolen Jewels (1915 film)
Rule G (film)
The Mystery of a Hansom Cab (1915 film)
An Expensive Visit
The Third String (1914 film)
By the Sea (1915 film)
Fight for the Dardanelles
Still Waters (1915 film)
The Law of the Wilds
After the Storm (1915 film)
Love, Pepper and Sweets
Rum and Wall Paper
Ragtime Snap Shots
Fatty's Tintype Tangle
The Slim Princess (1915 film)
Buckshot John
Macbeth (1915 film)
The Broken Pledge
A Fool There Was (1915 film)
She Never Knew
Mixed Flats
The Cheat (1915 film)
A Lucky Strike
Check No. 130
Where the Forest Ends
The Moonstone (1915 film)
Wildfire (1915 film)
The Explorer (film)
The Exile of Bar-K Ranch
Kong Bukseløs
The Bottle (1915 film)
It May Be You
The Lucky Transfer
Her Triumph
The Battle of Frenchman's Run
Golfo (1914 film)
Mabel and Fatty's Married Life
David Harum (1915 film)
The Garden of Lies
The Canceled Mortgage
A Question of Honor
Old Offenders
A Night Out (film)
The Climbers (1915 film)
Mistress Nell
The Baby on the Barge
Sotto le tombe
Stronger Than Death (1915 film)
The Shooting of Dan McGrew (1915 film)
A Girl of Yesterday
The Stronger Mind
The Right to Happiness
Gladiola (film)
At Bay
Snobs (film)
Billy's Love Making
Mabel and Fatty's Wash Day
Pennington's Choice
Guilt Redeemed
The Deep Purple (1915 film)
The Black Hussar (1915 film)
Helene of the North
Two Hearts That Beat as Ten
When Love Took Wings
The White Sister (1915 film)
Jane (1915 film)
Gilbert Dying to Die
Her Nameless Child
Silver Threads Among the Gold (1915 film)
The Dancing Girl (film)
Under a Shadow
Wife Wanted (1915 film)
The Little Teacher
Beyond His Fondest Hopes
The Black Box (serial)
The Measure of a Man (1915 film)
Barnaby Rudge (film)
Hearts in Exile (1915 film)
The Two Sentences
Peer Gynt (1915 film)
The Face in the Moonlight
Esmeralda (1915 film)
The Little Minister (1915 film)
The Case of Becky (1915 film)
The Fairy and the Waif
Spaghetti a la Mode
The Eternal City (1915 film)
The Bluffers (film)
The Romance of an American Duchess
The Warrens of Virginia (1915 film)
The Star of the Sea
A Double Winning
The False Asta Nielsen
A Rogue's Wife
Bughouse Bellhops
The Honor of the District Attorney
All For Old Ireland
The Soul of Broadway
Perils of the Jungle (1915 film)
The Fascination of the Fleur de Lis
Tragico convegno
The Taint (1915 film)
Mezzanotte (1915 film)
Jim the Penman (1915 film)
As It Happened
Little Pal (1915 film)
The Echo (1915 film)
The Fatal Card
Senza colpa!
Miss Fatty's Seaside Lovers
The Sheriff's Dilemma
How Molly Made Good
Rupert of Hentzau (1915 film)
The Lily and the Rose
The House of the Lost Court
The Commanding Officer
The Heart of Maryland (1915 film)
Zaza (1915 film)
Always in the Way
The Running Fight
The Broken Coin
The Boss (1915 film)
The Undertow (1915 film)
The Rug Maker's Daughter
The Moth and the Flame (1915 film)
Fatty and Mabel at the San Diego Exposition
Lydia Gilmore
The Fatal Woman
The Violin Maker
Court House Crooks
The Altar of Ambition
The Supreme Impulse
Great While It Lasted
Sweedie Goes to College
The Picture of Dorian Gray (1915 film)
The Bear of the Baskervilles
Are You a Mason? (1915 film)
The Spirit of Adventure
By the Shortest of Heads
Outside the Gates
The Life of Nephi
The Day of Reckoning (film)
Old Heidelberg (1915 film)
Betty in Search of a Thrill
Hogan's Romance Upset
The Cowardly Way
Fine Feathers (1915 film)
A Free Ride
The Spanish Jade (1915 film)
Daydreams (1915 film)
John Halifax, Gentleman (1915 film)
The Woman Next Door (1915 film)
The Prize Baby
Little Marie
A Mother's Confession
Their Social Splash
The Dawn of a Tomorrow (1915 film)
Maid of the Mist (1915 film)
The Gambler's I.O.U.
My Valet
Just Nuts
There's Good in Everyone
Auntie's Portrait
The Sin of Olga Brandt
The Heart of a Child
The Second in Command
Out of the Darkness (1915 film)
The Rebel (1915 film)
After Five
Assunta Spina (1915 film)
The Tunnel (1915 film)
The Ghost of Twisted Oaks
Fatty's Reckless Fling
The Resolve
When Empty Hearts Are Filled
The Pretty Sister of Jose (1915 film)
A Woman
Chimmie Fadden
The Immigrant (1915 film)
Samson (1915 film)
Ma Hogan's New Boarder
The Firm of Girdlestone (film)
Alas and Alack
The Story of a Story
The Hungry Actors
Stop Thief! (1915 film)
Ups and Downs (1915 film)
En slem Dreng
When Fate Rebelled
Cento H.P.
La farfalla dalle ali d'oro
Temptation (1915 film)
Peculiar Patients' Pranks
The Hero of the Dardanelles
The Red Circle (serial)
Do Unto Others (film)
Laughing Gas (film)
The Battle Cry of Peace
The Burned Hand
A Village Scandal
Little Sunset
A Woman Scorned (1915 film)
The Birth of a Nation
The Devil's Daughter (1915 film)
The Secret Orchard
Fatty's Faithful Fido
The Stool Pigeon (1915 film)
Their One Love
The Commuters (film)
Cleaning Time
The Senator (play)
Destruction (film)
The Skinflint
A London Flat Mystery
The Melting Pot (1915 film)
Strangled Harmony
Martyrs of the Alamo
Fatty's Plucky Pup
Such Is Life (1915 film)
The Millionaire Paupers
Judge Not; or The Woman of Mona Diggings
The Scourge of the Desert
The Golden Chance
Love, Speed and Thrills
For Australia
The Golden Pavement
An Affair of Three Nations
Mabel and Fatty Viewing the World's Fair at San Francisco
The Nightbirds of London
The Oyster Dredger
The Goose Girl (1915 film)
A Day's Adventure
Under the Crescent
On Dangerous Ground (1915 film)
The Little Lady Next Door
Fatty and the Broadway Stars
The Heart of Sister Ann
The Tramp (film)
It's No Laughing Matter
A Mother's Atonement
Who Stole the Doggies?
The Wild Olive
Tutyu and Totyo
The Reform Candidate
The Passing of the Oklahoma Outlaws
The Black Ghost Bandit
The Man Who Stayed at Home
Work (film)
Pretty Mrs. Smith
Gus and the Anarchists
The Butterfly on the Wheel
The Unnecessary Sex
The Ivory Snuff Box
Close-Cropped Clippings
The Price of Betrayal
Mr. Grex of Monte Carlo
A Golden Rainbow
In the Latin Quarter
Jack Tar (film)
The Green Cloak
Her Convert
A Burlesque on Carmen
May Blossom (film)
Fickle Fatty's Fall
The Ring of Destiny
Jane Shore (1915 film)
The Wedding March (1915 film)
Mignon (film)
You Can't Always Tell
The Solution to the Mystery
The Actor and the Rube
DuBarry
The Chinatown Mystery
Truth Stranger Than Fiction
Mabel, Fatty and the Law
Graft (1915 serial)
Matilda's Legacy
Captain Courtesy
Tommy Atkins (1915 film)
How We Fought the Emden
The Grind (1915 film)
Gilbert Gets Tiger-It is
The Diamond from the Sky
Fatty's New Role
The Haunted Hat
Camille (1915 film)
Nan O' the Backwoods
Alias Jimmy Valentine (1915 film)
Hearts in Shadow
The Woman (1915 film)
The Lady of the Camellias (1915 Negroni film)
Four Feathers
The Dictator (1915 film)
The Silent Voice (film)
The Sunny South or The Whirlwind of Fate
Gambier's Advocate
The Yankee Girl
Mabel Lost and Won
Ranson's Folly (1915 film)
Carmen (1915 Raoul Walsh film)
'Twas Ever Thus
Spit-Ball Sadie
The Ambition of the Baron
Category:Lists of 1915 films by country or language
Home (1915 film)
The Officer's Swordknot
How We Beat the Emden
Britain Prepared
The Woman Who Did (1915 film)
The Gray Nun of Belgium
Something in Her Eye
Knight of the Trail
The Great Question
A Foozle at the Tee Party
The Heart of a Bandit
Stolen Goods (film)
The Derby Winner
Kærlighed og Mobilisering
From Shopgirl to Duchess
Ain't It the Truth (film)
Charley's Aunt (1915 film)
Terribly Stuck Up
The Slave Girl (film)
A Submarine Pirate
Mountain Justice (1915 film)
The Cub
The New Exploits of Elaine
The Clue
Help Wanted (1915 film)
The Desert Breed
The Gentleman from Indiana
The Shadow of Her Past
The Fable of Elvira and Farina and the Meal Ticket
The Buzzard's Shadow
The Coward (1915 film)
The Pine's Revenge
Double Trouble (1915 film)
Brother Officers
Driven by Fate
The Raven (1915 film)
Ethel's Romeos
The Adventure of the Yellow Curl Papers
The Wild Goose Chase (film)
The Blot on the Shield
The Loyal Rebel
The Twin Sister
The Irish in America
The Miser's Legacy
Paula (1915 film)
The Unknown (1915 drama film)
Her Painted Hero
Competition (1915 film)
Sold (1915 film)
The Morals of Marcus (1915 film)
To Melody a Soul Responds
Rapsodia satanica
The Sentimental Lady
The White Pearl (1915 film)
The Italian (1915 film)
The Man from Texas
Mabel and Fatty's Simple Life
Florence Nightingale (1915 film)
The Unafraid
Father and the Boys
Coals of Fire
At the Edge of Things
Ontmaskerd
La doppia ferita
The Dead Letter
Just Jim (1915 film)
Bulgaran is Gallant
The Prince and the Pauper (1915 film)
A Gentleman of Leisure (1915 film)
The Kreutzer Sonata (1915 film)
The Legend Beautiful
The Substitute Minister
Robert and Bertram (1915 film)
The Governor's Lady (film)
The Barren Gain
Barbara Frietchie (film)
The Shulamite (film)
A Will of Her Own
$1,000 Reward
Titanic (1915 film)
Rags (1915 film)
The Patriot and the Spy
Cupid's Target
Five Nights
The Battle and Fall of Przemysl
The Two Orphans (1915 film)
The Smuggler's Cave
The Clemenceau Case
Gelosia (1915 film)
Sunshine Molly
Flying from Justice
In the Twilight
Honeymoon for Three (1915 film)
His Guardian Auto
Enoch Arden (1915 film)
Not Much Force
Vanity Fair (1915 film)
Bound on the Wheel
Fresh from the Farm
The Bank (1915 film)
The World's Desire (film)
The Country Boy (film)
The Girl of the Night
The Fighting Hope
The Crazy Clock Maker
Lady Jennifer (film)
Graustark (film)
Young Romance (film)
The Lamb (1915 film)
Mixed and Fixed
His Regeneration
Fatum (film)
In Trust
The Voice in the Fog
Tinkering with Trouble
The Chimney's Secret
Refining Fires
A Good Business Deal
Le traquenard
The Caveman (1915 film)
Eugene Aram (1915 film)
The Incorrigible Dukane
After Dark (1915 film)
The Champion (1915 film)
Aloha Oe (film)
Love in a Wood
Hard Times (1915 film)
Baby (1915 film)
The Chorus Lady
The White Hope (1915 film)
Her Choice
The Poet of the Peaks
The Trust (1915 film)
Familien Pille som Spejdere
What a Cinch
Clothes Make the Man
Sin (1915 film)
Ruses, Rhymes and Roughnecks
Gretna Green (1915 film)
Thou Shalt Not Lie
The Lady of the Camellias (1915 Serena film)
Lonesome Luke, Social Gangster
Mountain Mary
The Coal King
Armstrong's Wife
Monna Vanna (1915 film)
An Image of the Past
Brigadier Gerard (film)
The House with Nobody in It
The Love Route
The Bachelor's Romance
The Love Transcendent
The College Widow (1915 film)
The Menace of the Mute
Shanghaied (1915 film)
The White Star
Avenging Bill
The Golden Claw
Lon of Lone Mountain
Fairy Fern Seed
Her Dormant Love
The Assayer of Lone Gap
Hearts and the Highway
On the Night Stage (1915 film)
Love, Loot and Crash
Giving Them Fits
Kindling (film)
The Country Girl (1915 film)
Fatty's Chance Acquaintance
