Gone to Earth (film)
Dallas (film)
Emergency Wedding
Maul- und Klauenseuche
Child of the Night (1950 film)
He's a Cockeyed Wonder
Wabash Avenue (film)
The Orplid Mystery
Once a Sinner
Shadow of the Past (film)
Love That Brute
Cairo Road (film)
To Please a Lady
Bhai Bahen
The Crime of Korea
My Blue Heaven (1950 film)
Temno
Akogare no Hawaii Kōro
Women from Headquarters
The Benthin Family
Semmelweis – Retter der Mütter
Someone at the Door (1950 film)
Paid in Full (1950 film)
Bunco Squad
Il Diavolo in convento
The Honesty of the Look
Bellezze in bicicletta
Vigilante Hideout
Rio Grande (film)
Three Came Home
Dial 1119
The Good Humor Man (1950 film)
Hoegler's Mission
The Jackie Robinson Story
Marudhanaattu Ilavarasi
Modena, città dell'Emilia Rossa
Sakon torimonochō: senketsu no tegata
Born Yesterday (1950 film)
Against the Law (1950 film)
The Council of the Gods
Forbidden Journey
While the City Sleeps (1950 film)
Cuando besa mi marido
The Outlaws (film)
Les joueurs
At War with the Army
Abuso de confianza
The Man Who Cheated Himself
The Thief of Venice
Shadow on the Wall (film)
Les Enfants Terribles (film)
I'm in the Revue
Davy Crockett, Indian Scout
Pact with the Devil (film)
Arrabalera
Girl with Hyacinths
The Baron of Arizona
Für ein einiges, glückliches Vaterland
Bluebeard's Six Wives
Justice Is Done
The Last Mission
Nacha Regules
V trestném území
Sargam (1950 film)
The Yellow Cab Man
Guilty of Treason
Highly Dangerous
Ha'penny Breeze
School of Champions
Love at First Bite (1950 film)
Second Chance (1950 film)
Peggy (1950 film)
So Young, So Bad
Holiday Rhythm
The Killer That Stalked New York
What the Butler Saw (1950 film)
Rogues of Sherwood Forest
Blackout (1950 film)
Until We Meet Again (film)
The Trap (1950 film)
Filomena Marturano
Chechi (film)
California Passage
The Capture (film)
Cavalcade of Heroes
Tomorrow Is Too Late
The Texan Meets Calamity Jane
My Friend Irma Goes West
Shirayuki-sensei to kodomo-tachi
Buenos Aires a la vista
Sending of Flowers
The Woman in Question
Mej Didi (1950 film)
Nosotras las Taquígrafas
Shooting Stars (1950 film)
The Last Horse
The Return of Jesse James
The Happiest Days of Your Life
Ritmos del Caribe
My Beautiful Daughter
Heart of Stone (1950 film)
The Two Orphans (1950 film)
Two Flags West
La portatrice di pane (1950 film)
The Last Days of Pompeii (1950 film)
Bawre Nain
In a Lonely Place
The Damned Don't Cry!
Campeón a la fuerza
Donne senza nome
Nirala (film)
The Avengers (1950 film)
Convicted (1950 film)
Royal Children
Soho Conspiracy
Savage Africa
A Doll's Dream
Harriet Craig
Sthree (1950 film)
Jiggs and Maggie Out West
Stage Fright (1950 film)
Rio Grande Patrol
Zhukovsky (film)
Something in the City
The Munekata Sisters
Ambush (1950 film)
Breakthrough (1950 film)
Louisa (film)
Frisco Tornado
I cadetti di Guascogna
Paul Temple's Triumph
The Sky Is Red
Dawn of Life
The Reformer and the Redhead
Chinnamul
Covered Wagon Raid
Punchy Cowpunchers
Lo Zappatore
The Kid (1950 film)
Cody of the Pony Express
The Chocolate Girl (film)
A Wife's Life
Buccaneer's Girl
The Lights of Baku
Southside 1-1000
Dark Interval
Johnny One-Eye
Born to Be Bad (1950 film)
Madness of the Heart
Comanche Territory (1950 film)
Aahuti (1950 film)
Seven Days to Noon
The Torch (film)
The Merry Wives of Windsor (1950 film)
Last Holiday (1950 film)
The Glass Wall
Cinco grandes y una chica
Sarajevo (1955 film)
Kill the Umpire
The Vila Family
Secrets of Nature (1950 film)
Two Lost Worlds
No Pity for Women
The Happy Years
Tony Draws a Horse
The Life of Wu Xun
Waterfront (1950 film)
The Fuller Brush Girl
Belle of Old Mexico
Los Olvidados
I falsari
The King of the Neighborhood
The Treasure of Cantenac
Over the Garden Wall (1950 film)
The White Tower (film)
Right Cross
Steam Above a Pot
Anacleto se divorcia
Two Weeks with Love
Criminal Brigade (1950 film)
Susanne (1950 film)
Por la puerta falsa
Lonely Heart Bandits
Die Jungen vom Kranichsee
Dakota Lil
For Heaven's Sake (1950 film)
Never a Dull Moment (1950 film)
La taverna della libertà
711 Ocean Drive
Mr. Music
The Astonished Heart (film)
The Bandit Queen (film)
No Way Out (1950 film)
Kiss Tomorrow Goodbye (film)
Darah dan Doa
Scandal (1950 film)
The Wizard of Oz (1950 film)
Devil's Doorway
Posti (film)
The Men (film)
Saddle Tramp (film)
Ponmudi (1950 film)
Old Mother Riley Headmistress
Prasanna (film)
Where the Sidewalk Ends
Caged
In Beaver Valley
Il Mulatto
Your Witness (film)
Ma and Pa Kettle Go to Town
Kansas Raiders
The Admiral Was a Lady
Destination Murder
Hangman's Wharf
Grandad of Races
Stromboli (film)
L' Amore di Norma
The Big Hangover
The Black Forest Girl (1950 film)
To Joy (film)
Die Sünderin
One Way Street
La Gota de sangre
Shakedown (1950 film)
Side Street (1950 film)
Arzoo (1950 film)
Caiçara (film)
The Drunkard (film)
Min kone er uskyldig
La Marie du port
Lady Paname
No Trace
Aankhen (1950 film)
Brave People
Key to the City (film)
Dance Hall (1950 film)
Montana (1950 film)
Experiment Alcatraz
Bright Leaf
La Belle que voilà
Primero soy mexicano
Not Any Weekend for Our Love
Into the Blue (1950 film)
Ombre et lumière
Three Little Words (film)
Four Men in Prison
Sugar Chile Robinson, Billie Holiday, Count Basie and His Sextet
Son of d'Artagnan
Radar Secret Service
Death is a Caress
Born of Unknown Father
Hipólito, el de Santa
Nalla Thanka
Manèges
Father Is a Bachelor
The Magic Sword (1950 film)
Gunman in the Streets
No Sad Songs for Me
The Cariboo Trail
The Cobweb (film)
Kurama Tengu ōedo ihen
Trio (film)
The Ways of Love
El Cielo en las manos
Dynamite Pass
Afrique 50
Aadhi Raat
Father of the Bride (1950 film)
Under My Skin (film)
Shiva Parvathi
Category:Lists of 1950 films by country or language
King Solomon's Mines (1950 film)
The Stairs (film)
Frenchie
Bouboulina (film)
Sasidharan
Alina (film)
She Shall Have Murder
No Place for Jennifer
Racek má zpoždění
The Vicious Years
Surrender (1950 film)
Il nido di Falasco
Desperadoes of the West
Clear the Ring
Cinderella (1950 film)
Tonbo kaeri dōchū
The Golden Twenties
Gun Crazy
The Red Horses
American Guerrilla in the Philippines
Chased by the Devil
Variety Lights
Vítězná křídla
Tripoli (film)
The Fireball
Cheaper by the Dozen (1950 film)
Annie Get Your Gun (film)
The Titan: Story of Michelangelo
Category:1950 television films
An Almost Merry Widow
My Daughter Joy
Sunset in the West
Summer Stock
Apartado de correos 1001
Mussorgsky (film)
Black Hand (1950 film)
Dieu a besoin des hommes
Der Weg nach oben
The Invisible Monster
Branded (1950 film)
Young Man with a Horn (film)
The Lion of Amalfi
Captain Carey, U.S.A.
La Doctora Castañuelas
The Blast Furnace (film)
Un chant d'amour
Riding High (1950 film)
Hjärter Knekt
The Kangaroo Kid (film)
Man in Black (film)
The Second Mate
Chain Gang (1950 film)
Colt .45 (film)
Motor Mania
Twilight in the Sierras
Joe Palooka Meets Humphrey
One Too Many
Father's Dilemma
Trigger, Jr.
The Great Plane Robbery (1950 film)
The Great Rupert
Den opvakte jomfru
Three Secrets
Veselý souboj
The Arizona Cowboy
The Lady Craved Excitement
Due sorelle amano
Una Noche en El Relámpago
Anmol Ratan
Blues Busters (film)
The Blue Lamp
Amor de la calle
Bōryoku no Machi
Jogan (film)
Absender unbekannt
Chain Lightning (film)
Gerald McBoing-Boing
Orpheus (film)
The Man on the Eiffel Tower
Terra senza tempo
The Blonde Bandit
The Count of Saint Elmo
Piantadino
Return of the Frontiersman
Champagne for Caesar
I Killed Geronimo
La Muerte está mintiendo
Escape at Dawn
Chandrika (film)
My Friend Sainfoin
Peppino e la vecchia signora
Self-Made Maids
Tales of the Alhambra (film)
State Penitentiary (film)
Saptasajya (1950 film)
Ōgon Bat
Duchess of Idaho
Sierra (film)
Romanzo d'amore
The Vanishing Westerner
A Certain Mister
Honeymoon Deferred
Hold That Pose
The White Cat (film)
Between Midnight and Dawn
L' Isola bianca
Donne e briganti
State Secret (1950 film)
Nancy Goes to Rio
The Reluctant Widow (film)
La Vendedora de fantasías
The Fight: Science Against Cancer
Rapture (1950 film)
Fuego sagrado
Last of the Buccaneers
The Woman with No Name
Tea for Two (film)
Five Suspects
Double Deal (1950 film)
Mirror of Holland
Il vedovo allegro
La Valse de Paris
The Furies (1950 film)
Pygmy Island
The Daughter of Rosie O'Grady
Al son del mambo
Why Korea?
Wagon Master
Welcome, Reverend!
The Lawless
The White Hell of Pitz Palu (1950 film)
The White Line
The Missourians
All About Eve
Winchester '73
Il sentiero dell'odio
This Side of the Law
Mosekongen
The West Point Story (film)
The Du Pont Story
The Elusive Pimpernel
The Rocking Horse Winner (film)
Kon-Tiki (1950 film)
The Milkman
The Twenty Questions Murder Mystery
Mark of the Gorilla
The Flame and the Arrow
Si me viera don Porfirio
Samadhi (1950 film)
Le due sorelle
Millones de Semillita
The Underworld Story
Hunt the Man Down
Singing Guns
Valentina (1950 film)
Make Haste to Live
The Adventures of Jimmy
Studio Stoops
Případ dr. Kováře
A Ticket to Tomahawk
Odette (film)
Mystère à Shanghai
Good Fortune in Ohio
Armored Car Robbery
Highway 301 (film)
A Date with Your Family
Los Pérez García
Outside the Wall (film)
Deported (film)
The Breaking Point (1950 film)
The Girl from San Lorenzo
Mary tuvo la culpa
The Hen and the Sexton
So Long at the Fair
Blonde Dynamite
September Affair
Peppino e Violetta
Strano appuntamento
Romanticismo (film)
Mother Didn't Tell Me
Murder Without Crime
The Petty Girl
Pagan Love Song
Gunmen of Abilene
Captive Girl
The Iroquois Trail
Our Very Own (1950 film)
The Big Lift
Rocketship X-M
The Showdown (1950 film)
North of the Great Divide
All Mine to Give
Swapna Sundari (film)
The Eagle and the Hawk (1950 film)
Side Street Story
È arrivato il cavaliere!
House by the River
Rock Island Trail (film)
Black Jack (1950 film)
Immaculate (film)
Johnny the Giant Killer
Hook, Lion & Sinker
Up for the Cup (1950 film)
Rustlers on Horseback
Huling Patak ng Dugo
A Snitch in Time
No Man of Her Own
Torment (1950 British film)
Der Schuß durchs Fenster
Prehistoric Women
County Fair (1950 film)
Storm over Wyoming
Triple Trouble (1950 film)
Watch the Birdie (1950 film)
The Next Voice You Hear...
Barricade (1950 film)
Morning Departure
Prisoners in Petticoats
The Glass Menagerie (1950 film)
Lion Around
The File on Thelma Jordon
Fortunes of Captain Blood
Babul (1950 film)
I'll Get By (film)
Story of a Love Affair
Il voto
One Shivery Night
Waga Koi wa Moenu
Palletoori Pilla
Mala hembra
Madre Alegría
Azahares para tu boda
The Naked Heart
Portrait of Clare
Hearts at Sea
Manthiri Kumari
The Fighting Stallion
Bed for Two; Rendezvous with Luck
Midnight Episode
Taxi di notte
Rome Express (1950 film)
El Ladrón canta boleros
The Secret Fury
Raja Vikrama
The Body Said No!
Dawn in Pichincha
Sangram (1950 film)
A Life of Her Own
Mister 880
Child of the Danube
Devotion (1950 film)
Jungle Stampede
Bólidos de acero
Code of the Silver Sage
The Second Woman
Steel Town (1950 film)
Safety Second
Ippodromi all'alba
Don Fulgencio
The Kid from Texas
The Magnet (film)
Rocky Mountain (film)
Saure Wochen – frohe Feste
Bait (1950 film)
Beedala Patlu
Where Danger Lives
Volcano (1950 film)
The Tattooed Stranger
Slaphappy Sleuths
Come Dance with Me (1950 film)
Myrte of the Demons
A Lady Without Passport
La Ronde (1950 film)
Parking on This Side
Once a Thief (1950 film)
Captura recomendada
The Outriders
Totò cerca moglie
Hurricane at Pilgrim Hill
Double Confession
Mi querido capitán
The Black Rose
The Flowers of St. Francis
Miquette (1950 film)
La Funivia del faloria
Path of Hope
The Ring (1952 film)
Huellas del pasado
Call of the Klondike
Panic in the Streets (film)
Le Château de verre
Military Academy with That Tenth Avenue Gang
The Desert Hawk (1950 film)
The Cliff of Sin
This Can't Happen Here
Flying Disc Man from Mars
La dame de chez Maxim's (1950 film)
Margaret of Cortona (film)
I gabestokken
The Great Jewel Robber
The Troublemaker (1950 film)
The Mudlark
Hugs and Mugs
The Gunfighter
Vendetta (1950 film)
Three Telegrams
L'inafferrabile 12
Mater dei (1950 film)
A Dog's Life (1950 film)
Union Station (film)
47 morto che parla
The Sleeping City
Fugitive from Montreal
The Hollywood Ten
The Magnificent Yankee (1950 film)
Amor salvaje
Arroz con leche (1950 film)
Backfire (1950 film)
Guernica (1950 film)
Fancy Pants (film)
Bitter Springs (film)
The Wooden Horse
The New China
Cassino to Korea
Copper Canyon (film)
Mystery Street
The Falling Star
Confidentially Connie
Mogacho Anvddo
Samsaram (1950 film)
Tokyo Kid
Tyrant of the Sea
Harvey (film)
Let's Dance (1950 film)
La liga de las muchachas
Street Without a King
Hombres a precio
Hit Parade of 1951
D.O.A. (1950 film)
L' Ospedale del delitto
Quel fantasma di mio marito
Shri Ganesh Mahima
Zvony z rákosu
Salt Lake Raiders
Edge of Doom
A Woman of Distinction
Abbott and Costello in the Foreign Legion
Samson and Delilah (1949 film)
Woman on the Run
The Jackpot
Please Believe Me
Trail of Robin Hood
South Sea Sinner
Méfiez-vous des blondes
El Desalmado
Do Ansoo
Shavukar
Guilty Bystander
El Zorro pierde el pelo
Aozora tenshi
La culpa la tuvo el otro
Médico de guardia
Banwra
Treasure Island (1950 film)
Listen to the Voices of the Sea
Dastan (1950 film)
Cabaret Shangai
Broken Arrow (1950 film)
Jeevitham (1950 film)
Afsar (film)
Three Hams on Rye
The Miracle of St. Anne
Cage of Gold
Yo quiero ser tonta
With These Hands (film)
Fangio, the Demon of the Tracks
Cuando los hijos odian
The Miniver Story
The Marihuana Story
Madeleine (1950 film)
The Angel with the Trumpet (1950 film)
Revenue Agent
Pancho Villa Returns
The Bells of Nagasaki
Pretty Baby (1950 film)
Dopey Dicks
The Blue 9
I Was a Shoplifter
Si fuera una cualquiera
Morris the Midget Moose
The Fall of Berlin (film)
Bells of Coronado
They Were Not Divided
Border Treasure
Golden Salamander (film)
Totò sceicco
The Brave Engineer
Stars in My Crown (film)
Borderline (1950 film)
Hello Out There!
Francis (1950 film)
Immer bereit
Rashomon
Tiergestalt
Der Kahn der fröhlichen Leute
Destination Big House
Portrait of Madame Yuki
The Asphalt Jungle
The Second Face
Canzone di primavera
Sudhar Prem
Perfect Strangers (1950 film)
Memories of a Mexican
Gabriela (1950 film)
Esposa último modelo
Night and the City
