Innocents with Dirty Hands
French Connection II
The Dragon Tamers
Whistling Smith
Prayanam (1975 film)
The Treasure of Jamaica Reef
Due cuori, una cappella
Abhimaanam
The Actor and the Savages
Kuttichaathan
Picnic at Hanging Rock
Cinta (film)
Tubby the Tuba (1975 film)
Chori Mera Kaam
Breakheart Pass (film)
Apne Dushman
Pravaham
The Last Day of School Before Christmas
The Super Inframan
Villa Zone
Sheila Levine Is Dead and Living in New York
El Familiar
Do Jhoot
Adoption (film)
Lovers Like Us
Chronicle of the Years of Fire
Breaking with Old Ideas
Mausam (1975 film)
Abduction (1975 film)
Maalai Sooda Vaa
Three for All
Piange... il telefono
Sri Ramanjaneya Yuddham
Nights and Days
Peur sur la ville
The Prisoner of Second Avenue
Zinda Dil (1975 film)
Ice Age (1975 film)
Coonskin (film)
The Ax Fight
Sheba, Baby
Brannigan (film)
Cops vs. Thugs
Chameli Memsaab
Erotic Inferno
Autobiography of a Princess
The Gypsy (film)
Black Magic (1975 film)
Lips of Lurid Blue
Capone (film)
Zameer (1975 film)
The Romantic Englishwoman
Mattoru Seetha
Number Two (film)
Terror of Mechagodzilla
Los Chantas
Manhunt in the City
Hallucination Strip
Grey Gardens
Como gallos de pelea
The Immortal Bachelor
Framed (1975 film)
The Arrows of Robin Hood
Eadweard Muybridge, Zoopraxographer
The French Detective
The Story of Sin
Spanish Fly (1975 film)
Lady Cocoa
Three Days of the Condor
Home for Christmas (1975 film)
Ot zari do zari
Bucktown (film)
Side by Side (1975 film)
Bedtime with Rosie
Hennessy (film)
The Man with Two Faces (1975 film)
Xala
Kahte Hain Mujhko Raja
Do Jasoos
Best Friends (1975 film)
Posse (1975 film)
Love Marriage (1975 film)
Prem Kahani (1975 film)
Jeevana Jyothi (1975 film)
La mazurka del barone, della santa e del fico fiorone
A Guy and a Gal
The Man Who Skied Down Everest
The Story of Adele H.
Mark Shoots First
Keep It Up, Jack
Toofan Aur Bijlee
Emmanuelle 2
Go Gorilla Go
The Promised Land (1975 film)
Galileo (1975 film)
Walking Tall Part 2
Sidecar Racers
A Long Return
Great Mazinger vs. Getter Robo G: Kuchu Daigekitotsu
Fox and His Friends
Preparation for the Festival
The Spiral Staircase (1975 film)
Arthur and Lillie
Kidnap Syndicate
Once Is Not Enough (film)
Syndicate Sadists
Pattampoochi
Order to Kill
Mistress of the Devil
Los Orilleros
Evrydiki BA 2O37
Mucheettukalikkaarante Makal
Trilogy of Terror
Rafferty and the Gold Dust Twins
Brother, Can You Spare a Dime? (film)
The End of the Game (film)
The Grizzly and the Treasure
Mi novia el...
Raagam
Di che segno sei?
The Day of the Locust (film)
Death Race 2000
It Can't Be!
Los Chiflados dan el golpe
Nothing by Chance (film)
Jacques Brel Is Alive and Well and Living in Paris (film)
Apne Rang Hazaar
Aandhi
One Flew Over the Cuckoo's Nest (film)
Dog Day Afternoon
Lucky Lady
Barry Lyndon
Paolo Barca, Schoolteacher and Weekend Nudist
Serious as Pleasure
The Unforgettable Character
Yuppi du
Professori Uuno D.G. Turhapuro
American Shoeshine
Manishada
Eyeball (film)
The Wind and the Lion
Reflections in Black
The Drowning Pool (film)
My Heart Is in the Highlands
Fighting for Our Lives (film)
Tokyo Emmanuelle
Mohabbat Zindagi Hai (1975 film)
Khel Khel Mein
Boss Nigger
Njan Ninne Premikkunnu
Zorrita Martinez
Alfie Darling
La Guerra del cerdo
Fantozzi (film)
Aloha, Bobby and Rose
Himalay Se Ooncha
Cousin Cousine
Mandingo (film)
The Hiding Place (film)
Ransom (1974 film)
Yarukku Maappillai Yaro
The Climber (1975 film)
Rebeldía
How Willingly You Sing
Love, Lust and Violence
Bellas de noche
The Captivating Star of Happiness
Sammanam (1975 film)
Fore Play
The Wrong Move
How to Be an Adult
Jajabara
Promise of the Flesh
That's the Way of the World (film)
A Woman's Decision
Sixpack Annie
Sex Pot (1975 film)
Sanyasi (film)
Out of Season (film)
The Other Francisco
Section spéciale
Hedgehog in the Fog
The Dead Don't Die
Chandanachola
Keetje Tippel
Yessongs (film)
Hong Haier
Anokha
Jaws (film)
Pallandu Vazhga
Mili (1975 film)
Psychic Killer
Kaddu Beykat
Giliap
That Most Important Thing: Love
Kafr kasem
Sindhu (film)
All in the Family (film)
Salò, or the 120 Days of Sodom
The Hindenburg (film)
The Kansas City Massacre
Apoorva Raagangal
Dokter Pulder zaait papavers
The Stepford Wives (1975 film)
Aloïse (film)
Chomana Dudi
Chhoti Si Baat
Aan Pillai Singam
The Other Half of the Sky: A China Memoir
Blazing Stewardesses
Operation Daybreak
Balak Aur Janwar
Angel and Big Joe
Mark of Zorro (1975 film)
Malsaram (1975 film)
Sto dney posle detstva
Andhera
The Bullet Train
The Exorcist: Italian Style
Great Mazinger vs. Getter Robo
Satan Was a Lady
Chupke Chupke
Jyotibacha Navas
No hay que aflojarle a la vida
Dolemite
Ayodhya (film)
Supercock
Deadly Strangers
The Divine Nymph
The Noah
The Travelling Players
Nagakanye
The Eiger Sanction (film)
Promised Woman
Between Day and Night
The Story of Paul
Hababam Sınıfı Sınıfta Kaldı
The "Human" Factor (1975 film)
The White Wall
Giubbe rosse
Release the Prisoners to Spring
Mere Sartaj
Las tecnologías pesqueras
So Can I
Royal Flash (film)
The Killer Must Kill Again
Alibabayum 41 Kallanmaarum
Onde Roopa Eradu Guna
Black Moon (1975 film)
The Flower in His Mouth
Diamonds (1975 film)
Bili Hendthi
Manidhanum Dheivamagalam
Friday Foster (film)
Het Jaar van de Kreeft
The Cursed Medallion
Bhakta Pundalik
Le Sexe qui parle
A Dirty Western
Journey into Fear (1975 film)
Let Joy Reign Supreme
Sharks' Treasure
Carnal Madness
Supervixens
The House (1975 film)
The Return of the Sister Street Fighter
The Sunday Woman (film)
Swarnna Malsyam
Benilde or the Virgin Mother
Give 'em Hell, Harry!
Jacob the Liar (1975 film)
A Journey to London
Balipeetam
The Golden Cage (1975 film)
The Reincarnation of Peter Proud
John Glückstadt
Switchblade Sisters
Get Mean
Mondo candido
Monsieur Pointu (film)
Hello, I'm Your Aunt!
The Police Can't Move
Avanthan Manithan
Khushboo (1975 film)
Chattambikkalyaani
The Red Apple (film)
Big Brother Cheng
The Candy Tangerine Man
Yo maté a Facundo
The Other Side of the Mountain
Far from Home (1975 film)
Aaja Sanam
Sharif Badmash (1975 film)
The Passenger (1975 film)
Muna Moto
Dogpound Shuffle
A Boy and His Dog (1975 film)
Cagliostro (film)
Emanuelle's Revenge
The Dream Makers
The Regent's Wife
La Course à l'échalote
That Lucky Touch
Priyamulla Sophia
Lies My Father Told Me
Champion of Death
Raging Fists
Let's Do It Again (1975 film)
Annadammula Anubandham
Paattum Bharathamum
What the Swedish Butler Saw
W.W. and the Dixie Dancekings
Kalyaanappanthal
Anno Domini 1573
The Empress Dowager
Hedda (film)
A Police Superintendent Accuses
Madhurappathinezhu
Tam, kde hnízdí čápi
Kaveri (1975 film)
Legend of the Sea Wolf
The Son of Amir Is Dead
Calling All Police Cars
Waves of Lust
Weak Spot
Chac: Dios de la lluvia
Egg! Egg! A Hardboiled Story
Cacique Bandeira
Rrugicat që kërkonin diell
Ashtamirohini
Lafange
Hagiga B'Snuker
A Woman Called Sada Abe
Darktown Strutters
Thomasleeha
The Left Hand of the Law
The Great Macarthy
Russian Roulette (film)
Bruce Lee, D-Day at Macao
Inside Out (1975 film)
La Raulito en libertad
Tarzoon: Shame of the Jungle
El Pibe Cabeza
Farewell, My Lovely (1975 film)
The Man from Hong Kong
Swargam Narakam
The Lost Honour of Katharina Blum (film)
Oryu's Passion: Bondage Skin
La Raulito
Sagan om Karl-Bertil Jonssons julafton
Take a Hard Ride
Pleasure Party
I Want a Solution
The Buffalo Creek Flood: An Act of Man
Osadeni Dushi
The Strongest Man in the World
Yashoda Krishna
Dulhan (1975 film)
Ghazal (1975 film)
Grazie... nonna
Death at an Old Mansion
Quasi at the Quackadero
La venida del Rey Olmos
Köçek (film)
Valley Forge (film)
Escape to Witch Mountain (1975 film)
French Provincial
Hitler from Our Street
Bite the Bullet (film)
Les Rendez-vous d'Anna
Beyond the Sun (film)
Bhagya Jyothi
Crazy Mama
The Mirror (1975 film)
Confessions of a Pop Performer
One of Our Dinosaurs Is Missing
The Hostages
Two Solutions for One Problem
I Will Fight No More Forever
La Joven casada
Manila in the Claws of Light
Next Door (1975 film)
The Fortune
Las Dos culpas de Bettina
Savage Three
Dharmatma
Hotel Kaveri
Presagio
Earthly Love
Judge and the Forest
Maîtresse
Threshold: The Blue Angels Experience
Chuvanna Sandhyakal
Bodas de cristal
Personel
Scobie Malone (film)
Private Lessons (1975 film)
La liceale
Cracked Actor
Dafaa 302
Cher Victor
The Condemned (1975 film)
The Apple Dumpling Gang (film)
Story of O (film)
Cookies (film)
The Night That Panicked America
141 Minutes from the Unfinished Sentence
Los Días que me diste
La polizia accusa: il Servizio Segreto uccide
Bugs Bunny: Superstar
Monty Python and the Holy Grail
The Monk (1975 film)
Jai Santoshi Maa
Mera Naam Hai Mohabbat (1975 film)
Las fuerzas vivas
Children of Rage
Aag Aur Toofan
La moglie vergine
It Seemed Like a Good Idea at the Time
The Suspicious Death of a Minor
Forced Entry (1975 film)
Do You Hear the Dogs Barking?
Criminally Insane (film)
Thundercrack!
Julie (1975 film)
Paper Tiger (film)
Samaya (film)
Bons Baisers de Hong Kong
The Year of the Wildebeest
Mr. Ricco
Huckleberry Finn (1975 film)
Trucker's Woman
Rollerball (1975 film)
That Malicious Age
Night Moves (1975 film)
Frozen Scream
Thaamarathoni
Swami Ayyappan (1975 film)
Gone with the West
El ministro y yo
Beluvalada Madilalli
Raftaar (1975 film)
Mutyala Muggu
Mere Sajna
Thangathile Vairam
Overlord (film)
Sooryavamsham (film)
Umar Qaid
Zavallılar
Smile (1975 film)
Flatfoot in Hong Kong
Pkah Thgall Meas
Ultime grida dalla savana
Girl from Hanoi
Hababam Sınıfı
Breakout (1975 film)
Nishant (film)
Love Letter to Edie
Double Dealer (film)
Vardaan
The Net (1975 film)
Dracula in the Provinces
A Girl Named Sooner
Velicham Akale
Shhh (film)
My Brother Has a Cute Brother
Nashville (film)
92 in the Shade
Rancho Deluxe
Lemora
Shampoo (film)
Kalla Kulla
A Girl Named Mahmoud
Devara Gudi
Inserts (film)
La comadrita
L'ingenua
The Adventure of Sherlock Holmes' Smarter Brother
The Kingfisher Caper
White Line Fever (film)
Geet Gaata Chal
Vergine e di nome Maria
Naked Came The Stranger (1975 film)
The Great House (film)
Uljhan
Flame (1975 film)
Street Girls
The Image (film)
Against a Crooked Sky
Nazareno Cruz and the Wolf
Blacker Than the Night
La Chair de l'orchidée
Athidhi (1975 film)
They Fought for Their Country
All Creatures Great and Small (film)
Mannavan Vanthaanadi
Whiffs
Chalanum
Video Vixens
Conduct Unbecoming (film)
Tivoli (film)
Winstanley (film)
The Bricklayer (1975 film)
The Outer Space Connection
The Last Word (1975 film)
Whom Should We Shoot?
Los Irrompibles
Neela Ponman
Frankenstein - Italian Style
Boy Friend (1975 film)
Per (film)
Black Emanuelle
Aakhri Daao
Sunehra Sansar
Un Mundo de amor
Natak
Permission to Kill
Footprints on the Moon (1975 film)
I Wonder Who's Killing Her Now?
The Irony of Fate
El Inquisidor
Moll Flanders
Flic Story
The Land That Time Forgot (1975 film)
The Magic Flute (1975 film)
The Best of Walt Disney's True-Life Adventures
Anbe Aaruyire (1975 film)
Millions of Years Ahead of Man
Rape Culture (film)
The Man Who Would Be King (film)
Akkaldaama
Backbone (1975 film)
Tiger and Crane Fist
Anari (1975 film)
The Adventures of Buratino (1975 film)
The Devil's Rain
Lepke (film)
Niespotykanie spokojny człowiek
Nobleza ranchera
Maria (1975 film)
Sunday Too Far Away
Conviene far bene l'amore
Amanush
Aa Jaa Sanam
Dharmakshetre Kurukshetre
La Hora de María y el pájaro de oro
Report to the Commissioner
Pressure (1976 film)
Return to Macon County
The Wilby Conspiracy
Loaded Guns
India Song
Trip with the Teacher
Deep Red
I, Tintin
Zorro (1975 Hindi film)
Trapito (film)
Haath Ki Safai
Hatred (film)
Odakkuzhal
The School Teacher
The Black Bird
The First Christmas: The Story of the First Christmas Snow
Alkitrang dugo
Elckerlyc (film)
The Werewolf of Woodstock
Salaakhen (1975 film)
Uttarayanam
Four of the Apocalypse
Kalyana Sougandhikam (1975 film)
Lèvres de Sang
Juvenile Liaison
One by One (1975 film)
Curriculum Vitae (film)
Allpakallpa
Makkal
Dick Deadeye, or Duty Done
Return of Shanghai Joe
Dhoti Lota Aur Chowpatty
Blue Jeans (1975 film)
The Gate of Youth (1975 film)
Il fidanzamento
Poor Pretty Eddie
Last Days of Mussolini
Cruelty: Black Rose Torture
Le vieux fusil
A Brief Vacation
Shivers (film)
Dr. Minx
Gypsies Are Found Near Heaven
The Ghoul (1975 film)
The Adventures of the Wilderness Family
Sunburst (film)
Furtivos
The ABC of Sex Education for Trainables
Cheenavala
Ullasa Yaathra
Lily, aime-moi
The Happy Hooker (film)
The Beehive (1975 film)
El valle de los miserables
Autopsy (1975 film)
Category:1975 animated films
Eddie og Suzanne
Libera, My Love
Hearts of the West (1975 film)
Mayangukiral Oru Maadhu
Kaagaz Ki Nao
Smiling Maniacs
Mahogany (film)
La cruz del diablo
Clara is the Price
The Giant Spider Invasion
Paalazhi Madhanam
Protected (film)
The White, the Yellow, and the Black
Category:Lists of 1975 films by country or language
Parapsycho – Spectrum of Fear
México, México, ra, ra, ra
Lisztomania (film)
The Boss and the Worker
Category:1975 television films
Duck in Orange Sauce
Utsavam (film)
Ninaithadhai Mudippavan
Jub Jub Phool Khile
Murph the Surf (film)
Koodi Balona
Lathial
The Battle of Chile
Anti-Corruption
Cinema Paithiyam
The Sexplorer
Jaws (franchise)
The True Story of Eskimo Nell
Daari Tappida Maga
Qui comincia l'avventura
The Master Gunfighter
Zindagi Aur Toofan
The Young Girl
Just Another Saturday
Naked Therapy
Tommy (1975 film)
Category:1975 horror films
Hester Street (film)
Vaira Nenjam
Cochengo Miranda
Mrs. Dery Where Are You?
Katha Sangama
Familien Gyldenkål
Under the Pavement Lies the Strand
Qaid (film)
Apache Blood
Mereka Kembali
Aayirathil Oruthi
Pisnia zavzhdy z namy
Rudeness (film)
Great (1975 film)
Seven Beauties
The Bloodsucker Leads the Dance
The Ups and Downs of a Handyman
Ganga Ki Kasam
Niramaala
Rosebud (film)
Ippadiyum Oru Penn
Night of the Seagulls
Faccia di spia
Violent Rome
The Amorous Milkman
The Story of Joanna
Bug (1975 film)
Afonya
Africa Express
Chumaduthangi
The Manchu Eagle Murder Caper Mystery
Inn of the Damned
Bhaarya Illaatha Raathri
Carry On Behind
Sathyathinte Nizhalil
Hard Times (1975 film)
Smoke in the Wind
Aaron Loves Angela
Goodbye Bruce Lee: His Last Game of Death
Kaamam Krodham Moham
Intimate Reflections
Everyone Dies Alone
Substitute Teacher (film)
The Black Gestapo
Naalai Namadhe
Pulivalu
Cooley High
White Fang and the Hunter
Ek Mahal Ho Sapno Ka
A Happy Divorce
The Return of the Pink Panther
Zaklęte rewiry
Agony (film)
Then Sindhudhe Vaanam
Frauengefängnis
Prodaná nevěsta (film)
Rooster Cogburn (film)
God's Gun
All Men Are Brothers (film)
Deafula
Mister Quilp
Shubhamangala
Difunta Correa (film)
Passion According to Matthew
Mayura (film)
The Fossil
Tora-san, the Intellectual
English Striptease
Murder on Flight 502
The Shiranui Sea
The Day That Shook the World
The Sunshine Boys (1975 film)
La Película
Warrant (film)
The Executioner (1975 film)
Il gatto mammone
La presidenta municipal
Cover Girl Models
Tora-san's Rise and Fall
Kenji Mizoguchi: The Life of a Film Director
I Don't Want to Be Born
Everybody Rides the Carousel
Last Rites (1975 film)
Mother Küsters' Trip to Heaven
The Shopping Bag Lady
Il giustiziere di mezzogiorno
Banned Book: Flesh Futon
Eskimo Nell (film)
Rime of the Ancient Mariner (film)
A Genius, Two Partners and a Dupe
Semiotics of the Kitchen
Red Sien
Padmaragam
Deewaar (1975 film)
Cry, Onion!
Ilsa, She Wolf of the SS
Dersu Uzala (1975 film)
Gina (film)
The Suspect (1975 film)
Down the Ancient Staircase
Legend of the Werewolf
Cornbread, Earl and Me
Snapshot of a Crime
Female Vampire
Race with the Devil
Hu-Man
Beni Walks by Himself
The Cycle (1975 film)
Rani Aur Lalpari
Devara Kannu
Karayuki-san, the Making of a Prostitute
Moonrunners
L'Infermiera
Faraar
Ellorum Nallavare
Playing with Fire (1975 film)
Scandal in the Family (1975 film)
Wanted: Babysitter
The Boy Who Talked to Badgers
Cleopatra Jones and the Casino of Gold
Last Stop on the Night Train
The California Reich
Graveyard of Honor (1975 film)
White House Madness
Remodelled Beauty
Who Breaks... Pays
Mackintosh and T.J.
Hugo the Hippo
Zakhmee
He Is My Brother
La Maldicion de la Bestia
Sept morts sur ordonnance
Ponga Pandit
Zorro (1975 film)
Pooja (1975 film)
Probes in Space
